timestamp,task,model,dataset,protected_attr,ablation,seed,repair_metric_name,repair_metric_before,repair_metric_after,acc_before,acc_after,modified_params,modified_params_ratio,loc_time,repair_time,total_time
2026-06-28 01:27:08,Backdoor,NN2,MNIST,none,full,0,ASR,100.0000,0.0000,99.5600,99.5352,28,0.000034,8.26,7.90,16.16
2026-06-28 01:27:35,Backdoor,NN3,Fashion-MNIST,none,full,0,ASR,98.5556,0.0000,92.4000,92.3882,26,0.000108,8.99,9.71,18.70
2026-06-28 01:28:27,Backdoor,NN1,GTSRB,none,full,0,ASR,93.4678,0.0000,97.2354,97.6260,127,0.000222,16.12,27.53,43.65
2026-06-28 01:29:04,Backdoor,NN4,CIFAR-10,none,full,0,ASR,96.2180,1.7730,71.0400,69.4180,15,0.000017,9.70,17.32,27.02
2026-06-28 01:31:44,Safety,NN5,ACAS_Xu_N2_9,none,full,0,VR,1.0000,0.0000,1.0000,1.0000,60,0.004510,6.13,148.17,154.30
2026-06-28 01:34:32,Safety,NN6,ACAS_Xu_N3_3,none,full,0,VR,1.0000,0.0000,1.0000,1.0000,60,0.004510,7.79,155.30,163.09
2026-06-28 01:37:05,Safety,NN7,ACAS_Xu_N1_9,none,full,0,VR,1.0000,0.0000,1.0000,1.0000,6,0.000451,5.07,141.81,146.88
2026-06-28 01:38:39,Fairness,NN9,bank,age,full,0,IDR,0.0760,0.0000,0.9810,0.9806,100.00,5.47,4.29,9.76,1.00
2026-06-28 01:41:22,Fairness,NN8,census,gender,full,0,IDR,0.0760,0.0039,0.8840,0.8957,90.79,5.67,15.42,21.09,4.00
2026-06-28 01:43:56,Fairness,NN8,census,race,full,0,IDR,0.1200,0.0098,0.8840,0.8857,87.50,15.68,6.97,22.65,4.00
2026-06-28 01:45:01,Fairness,NN8,census,age,full,0,IDR,0.1730,0.0206,0.8840,0.8960,83.24,6.24,6.91,13.15,6.00
2026-06-28 01:45:56,Fairness,NN10,credit,age,full,0,IDR,0.3083,0.0860,1.0000,0.9761,22.70,3.84,6.88,10.71,4.00
2026-06-28 01:47:19,Fairness,NN10,credit,gender,full,0,IDR,0.1450,0.0643,1.0000,0.9876,9.20,3.79,9.67,13.47,9.00
2026-06-28 01:47:38,Backdoor,NN2,MNIST,none,no_localization,0,ASR,100.0000,1.3207,99.5600,99.1588,28,0.000034,5.78,5.42,11.20
2026-06-28 01:48:01,Backdoor,NN3,Fashion-MNIST,none,no_localization,0,ASR,98.5556,0.0962,92.4000,92.2617,26,0.000108,7.20,9.23,16.43
2026-06-28 01:48:44,Backdoor,NN1,GTSRB,none,no_localization,0,ASR,93.4678,0.0000,97.2354,96.6338,127,0.000222,12.96,23.18,36.14
2026-06-28 01:49:21,Backdoor,NN4,CIFAR-10,none,no_localization,0,ASR,96.2180,10.5064,71.0400,66.7521,15,0.000017,9.74,17.01,26.75
