timestamp,task,model,dataset,k,protected_attr,ablation,seed,repair_metric_name,repair_metric_before,repair_metric_after,acc_before,acc_after,modified_params,modified_params_ratio,loc_time,ver_time,repair_time,total_time,alpha,rho_l,k,C24,C25
2026-06-26 14:32:07,Backdoor,NN2,MNIST,1,none,full,0,ASR,100.0000,0.0223,99.5600,99.0400,13,0.000016,6.02,0.00,6.26,12.28,,NULL,NULL,NULL,NULL
2026-06-26 14:32:53,Backdoor,NN2,MNIST,2,none,full,0,ASR,100.0000,0.0223,99.5600,99.1400,16,0.000019,16.32,0.00,20.43,36.75,,NULL,NULL,NULL,NULL
2026-06-26 14:33:38,Backdoor,NN2,MNIST,3,none,full,0,ASR,100.0000,0.0223,99.5600,99.9600,19,0.000023,15.73,0.00,15.89,31.62,,NULL,NULL,NULL,NULL
2026-06-26 14:34:26,Backdoor,NN2,MNIST,4,none,full,0,ASR,100.0000,0.0891,99.5600,99.5400,22,0.000027,14.89,0.00,20.19,35.09,,NULL,NULL,NULL,NULL
2026-06-26 14:35:09,Backdoor,NN2,MNIST,5,none,full,0,ASR,100.0000,0.0673,99.5600,99.6600,25,0.000030,14.97,0.00,14.55,29.52,,NULL,NULL,NULL,NULL
2026-06-26 14:35:59,Backdoor,NN2,MNIST,6,none,full,0,ASR,100.0000,0.0004,99.5600,99.580,28,0.000034,14.74,0.00,21.96,36.70,,NULL,NULL,NULL,NULL
2026-06-26 14:37:10,Backdoor,NN2,MNIST,7,none,full,0,ASR,100.0000,0.0000,99.5600,99.5000,31,0.000038,17.46,0.00,38.00,55.47,,NULL,NULL,NULL,NULL
2026-06-26 14:38:01,Backdoor,NN2,MNIST,8,none,full,0,ASR,100.0000,0.0000,99.5600,99.5100,34,0.000041,14.72,0.00,23.78,38.50,,NULL,NULL,NULL,NULL
2026-06-26 14:38:52,Backdoor,NN2,MNIST,9,none,full,0,ASR,100.0000,0.0007,99.5600,99.5000,37,0.000045,15.89,0.00,21.08,36.97,,NULL,NULL,NULL,NULL
2026-06-26 14:39:53,Backdoor,NN2,MNIST,10,none,full,0,ASR,100.0000,0.0003,99.5600,99.4600,40,0.000049,15.39,0.00,32.80,48.20,,NULL,NULL,NULL,NULL
2026-06-26 14:40:38,Backdoor,NN2,MNIST,12,none,full,0,ASR,100.0000,0.0002,99.5600,99.8800,46,0.000056,14.76,0.00,17.37,32.13,,NULL,NULL,NULL,NULL
2026-06-26 14:41:18,Backdoor,NN2,MNIST,15,none,full,0,ASR,100.0000,0.0006,99.5600,99.4400,55,0.000067,14.46,0.00,12.11,26.57,,NULL,NULL,NULL,NULL
2026-06-26 14:42:06,Backdoor,NN2,MNIST,20,none,full,0,ASR,100.0000,0.4009,99.5600,99.4200,66,0.000080,14.46,0.00,20.57,35.03,,NULL,NULL,NULL,NULL
2026-06-26 14:42:55,Backdoor,NN2,MNIST,25,none,full,0,ASR,100.0000,0.0002,99.5600,99.4800,76,0.000092,14.76,0.00,21.43,36.19,,NULL,NULL,NULL,NULL
2026-06-26 14:43:59,Backdoor,NN2,MNIST,30,none,full,0,ASR,100.0000,0.0006,99.5600,99.4800,86,0.000105,16.05,0.00,34.32,50.37,,NULL,NULL,NULL,NULL
2026-06-26 14:45:17,Backdoor,NN2,Fashion-MNIST,1,none,full,0,ASR,98.5556,0.0222,92.4000,92.3200,14,0.000058,20.80,0.00,42.90,63.70,,NULL,NULL,NULL,NULL
2026-06-26 14:46:33,Backdoor,NN2,Fashion-MNIST,2,none,full,0,ASR,98.5556,0.0000,92.4000,92.4600,18,0.000075,22.70,0.00,35.75,58.46,,NULL,NULL,NULL,NULL
2026-06-26 14:47:38,Backdoor,NN2,Fashion-MNIST,3,none,full,0,ASR,98.5556,0.0222,92.4000,92.4800,22,0.000091,21.61,0.00,27.77,49.38,,NULL,NULL,NULL,NULL
